"Bot Name:","Travel Assistant"
"Report name:","Successful user utterances"
"Bot Language:","en"
"Run Type:","inDevelopment"
"Threshold Setting","Mode","minThreshold","maxThreshold","exactMatchThreshold","isActive","taskMatchTolerance","wordCoverage","suggestionsCount","pathCoverage"
"","ml","0.3","80","95","true","","","",""
"","faq","60","80","95","true","5","","3","50"
"","cs","60","80","","true","","60","",""
"","rr","","","","true","2","","",""
"Last tested date and time:","05-18-2022 9:22:52 AM"
"Utterance count:","383"
"Percentage breakdown:","97.39% True Positive","0.00% True Negative","2.61% False Positive","0.00% False Negative"
"Success / Failure Ratio:","97.39"
"F1 Score:","0.99"
"Precision:","0.97"
"Recall:","1.00"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Matched Intent's Score","Expected Intent's Score"
"Delete Cab Booking Details","book cab","fetch booking details | how do i know my reservation was booked","None","configured | configured","FP","ML: 0.3180575701433759; FM: 9989.37; RR: 9989.37 | FAQ: 86.6; RR: 9879.37","ML: 0.18978498985643613; FM: 8613.33; RR: 8613.33"
"Update Cab Type","book cab","book cab | update booking","None","configured | configured","FP","ML: 0.37603636442040017; FM: 8830; RR: 8830 | ML: 0.36493137354732996; FM: 8830; RR: 8830","ML: 0.37603636442040017; FM: 8830; RR: 8830"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"update booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Modify Booking","update booking","update booking","None","configured","TP","ML: 100; FM: 11880; RR: 11880","ML: 100; FM: 11880; RR: 11880"
"Modify Cab Booking Details","update booking","update booking","None","configured","TP","ML: 0.9407267466588646; FM: 11146.67; RR: 11146.67","ML: 0.9407267466588646; FM: 11146.67; RR: 11146.67"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22"
"Flight Booking Details","book flight","book flight","None","configured","TP","ML: 0.15111393634278214; FM: 10780; RR: 10780","ML: 0.15111393634278214; FM: 10780; RR: 10780"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"Update Boarding City","update booking","update booking","None","configured","TP","ML: 0.5859800036741559; FM: 8830; RR: 8830","ML: 0.5859800036741559; FM: 8830; RR: 8830"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Flight Booking Details","book flight","book flight","None","configured","TP","ML: 0.15111393634278214; FM: 10780; RR: 10780","ML: 0.15111393634278214; FM: 10780; RR: 10780"
"update booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Modify Booking","update booking","update booking","None","configured","TP","ML: 100; FM: 11880; RR: 11880","ML: 100; FM: 11880; RR: 11880"
"Modify Flight Booking Details","update booking","update booking","None","configured","TP","ML: 0.9481850937963866; FM: 11546.67; RR: 11546.67","ML: 0.9481850937963866; FM: 11546.67; RR: 11546.67"
"book flight","book flight","book flight","None","configured","TP","ML: 0.9083987846915441; FM: 11910; RR: 11910","ML: 0.9083987846915441; FM: 11910; RR: 11910"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Flight Booking Details","book flight","book flight","None","configured","TP","ML: 0.15111393634278214; FM: 10780; RR: 10780","ML: 0.15111393634278214; FM: 10780; RR: 10780"
"Delete Flight Booking Details","book flight","book flight","None","configured","TP","ML: 0.15111393634278214; FM: 10613.33; RR: 10613.33","ML: 0.15111393634278214; FM: 10613.33; RR: 10613.33"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Flight Booking Details","book flight","book flight","None","configured","TP","ML: 0.15111393634278214; FM: 10780; RR: 10780","ML: 0.15111393634278214; FM: 10780; RR: 10780"
"Flight Booking Details","book flight","book flight","None","configured","TP","ML: 0.15111393634278214; FM: 10780; RR: 10780","ML: 0.15111393634278214; FM: 10780; RR: 10780"
"update booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Delete Booking","update booking","update booking","None","configured","TP","ML: 0.8226188954044774; FM: 8830; RR: 8830","ML: 0.8226188954044774; FM: 8830; RR: 8830"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"update booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Delete Booking","update booking","update booking","None","configured","TP","ML: 0.8226188954044774; FM: 8830; RR: 8830","ML: 0.8226188954044774; FM: 8830; RR: 8830"
"Modify Cab Booking Details","update booking","update booking","None","configured","TP","ML: 0.9407267466588646; FM: 11546.67; RR: 11546.67","ML: 0.9407267466588646; FM: 11546.67; RR: 11546.67"
"Update Pickup Location","update booking","update booking","None","configured","TP","ML: 0.5859800036741559; FM: 8830; RR: 8830","ML: 0.5859800036741559; FM: 8830; RR: 8830"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"update booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Modify Booking","update booking","update booking","None","configured","TP","ML: 100; FM: 11880; RR: 11880","ML: 100; FM: 11880; RR: 11880"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","FM: 12112.22; RR: 12112.22","FM: 12112.22; RR: 12112.22"
"Flight Booking Details","book flight","book flight","None","configured","TP","ML: 0.15111393634278214; FM: 10780; RR: 10780","ML: 0.15111393634278214; FM: 10780; RR: 10780"
"Update Booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Delete Booking","update booking","update booking","None","configured","TP","ML: 0.8226188954044774; FM: 8830; RR: 8830","ML: 0.8226188954044774; FM: 8830; RR: 8830"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","FM: 12112.22; RR: 12112.22","FM: 12112.22; RR: 12112.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"Book Cab","book cab","book cab","None","configured","TP","ML: 0.9684841275498065; FM: 9110; RR: 9110","ML: 0.9684841275498065; FM: 9110; RR: 9110"
"Book Cab","book cab","book cab","None","configured","TP","ML: 0.9684841275498065; FM: 11910; RR: 11910","ML: 0.9684841275498065; FM: 11910; RR: 11910"
"Fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"Update Boarding City","update booking","update booking","None","configured","TP","ML: 0.5859800036741559; FM: 8830; RR: 8830","ML: 0.5859800036741559; FM: 8830; RR: 8830"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Flight Booking Details","book flight","book flight","None","configured","TP","ML: 0.15111393634278214; FM: 10780; RR: 10780","ML: 0.15111393634278214; FM: 10780; RR: 10780"
"update booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Modify Booking","update booking","update booking","None","configured","TP","ML: 100; FM: 11880; RR: 11880","ML: 100; FM: 11880; RR: 11880"
"Modify Flight Booking Details","update booking","update booking","None","configured","TP","ML: 0.9481850937963866; FM: 11546.67; RR: 11546.67","ML: 0.9481850937963866; FM: 11546.67; RR: 11546.67"
"book flight","book flight","book flight","None","configured","TP","ML: 0.9083987846915441; FM: 11910; RR: 11910","ML: 0.9083987846915441; FM: 11910; RR: 11910"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Flight Booking Details","book flight","book flight","None","configured","TP","ML: 0.15111393634278214; FM: 10780; RR: 10780","ML: 0.15111393634278214; FM: 10780; RR: 10780"
"Flight Booking Details","book flight","book flight","None","configured","TP","ML: 0.15111393634278214; FM: 10780; RR: 10780","ML: 0.15111393634278214; FM: 10780; RR: 10780"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Flight Booking Details","book flight","book flight","None","configured","TP","FM: 10780; RR: 10780","FM: 10780; RR: 10780"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","FM: 12112.22; RR: 12112.22","FM: 12112.22; RR: 12112.22"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"Book Cab","book cab","book cab","None","configured","TP","ML: 0.9684841275498065; FM: 9110; RR: 9110","ML: 0.9684841275498065; FM: 9110; RR: 9110"
"book cab","book cab","book cab","None","configured","TP","ML: 0.9684841275498065; FM: 11910; RR: 11910","ML: 0.9684841275498065; FM: 11910; RR: 11910"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","FM: 10780; RR: 10780","FM: 10780; RR: 10780"
"Delete Booking","update booking","update booking","None","configured","TP","ML: 0.8226188954044774; FM: 8830; RR: 8830","ML: 0.8226188954044774; FM: 8830; RR: 8830"
"Delete Flight Booking Details","book flight","book flight","None","configured","TP","ML: 0.15111393634278214; FM: 10613.33; RR: 10613.33","ML: 0.15111393634278214; FM: 10613.33; RR: 10613.33"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22"
"Update Booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Delete Booking","update booking","update booking","None","configured","TP","ML: 0.8226188954044774; FM: 8830; RR: 8830","ML: 0.8226188954044774; FM: 8830; RR: 8830"
"Update Booking","update booking","update booking","None","configured","TP","FM: 11910; RR: 11910","FM: 11910; RR: 11910"
"Delete Booking","update booking","update booking","None","configured","TP","ML: 0.8226188954044774; FM: 8830; RR: 8830","ML: 0.8226188954044774; FM: 8830; RR: 8830"
"Delete Flight Booking Details","book flight","book flight","None","configured","TP","ML: 0.15111393634278214; FM: 10613.33; RR: 10613.33","ML: 0.15111393634278214; FM: 10613.33; RR: 10613.33"
"Delete Cab Booking Details","book cab","fetch booking details | how do i know my reservation was booked","None","configured | configured","FP","ML: 0.3180575701433759; FM: 9989.37; RR: 9989.37 | FAQ: 86.6; RR: 9879.37","ML: 0.18978498985643613; FM: 8613.33; RR: 8613.33"
"Modify Booking","update booking","update booking","None","configured","TP","ML: 100; FM: 11880; RR: 11880","ML: 100; FM: 11880; RR: 11880"
"Modify Flight Booking Details","update booking","update booking","None","configured","TP","ML: 0.9481850937963866; FM: 11546.67; RR: 11546.67","ML: 0.9481850937963866; FM: 11546.67; RR: 11546.67"
"Update Booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Update Booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Delete Booking","update booking","update booking","None","configured","TP","ML: 0.8226188954044774; FM: 8830; RR: 8830","ML: 0.8226188954044774; FM: 8830; RR: 8830"
"Update Booking","update booking","update booking","None","configured","TP","FM: 11910; RR: 11910","FM: 11910; RR: 11910"
"Modify Booking","update booking","update booking","None","configured","TP","ML: 100; FM: 11880; RR: 11880","ML: 100; FM: 11880; RR: 11880"
"Update Booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Modify Booking","update booking","update booking","None","configured","TP","FM: 11880; RR: 11880","FM: 11880; RR: 11880"
"Update Booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Modify Booking","update booking","update booking","None","configured","TP","ML: 100; FM: 11880; RR: 11880","ML: 100; FM: 11880; RR: 11880"
"Update Booking","update booking","update booking","None","configured","TP","FM: 11910; RR: 11910","FM: 11910; RR: 11910"
"Update Booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Modify Booking","update booking","update booking","None","configured","TP","ML: 100; FM: 11880; RR: 11880","ML: 100; FM: 11880; RR: 11880"
"Delete Booking","update booking","update booking","None","configured","TP","ML: 0.8226188954044774; FM: 8830; RR: 8830","ML: 0.8226188954044774; FM: 8830; RR: 8830"
"Delete Booking","update booking","update booking","None","configured","TP","ML: 0.8226188954044774; FM: 8830; RR: 8830","ML: 0.8226188954044774; FM: 8830; RR: 8830"
"Update Booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Modify Booking","update booking","update booking","None","configured","TP","ML: 100; FM: 11880; RR: 11880","ML: 100; FM: 11880; RR: 11880"
"Update Booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Modify Booking","update booking","update booking","None","configured","TP","ML: 100; FM: 11880; RR: 11880","ML: 100; FM: 11880; RR: 11880"
"Update Booking","update booking","update booking","None","configured","TP","FM: 11910; RR: 11910","FM: 11910; RR: 11910"
"Update Booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Modify Booking","update booking","update booking","None","configured","TP","ML: 100; FM: 11880; RR: 11880","ML: 100; FM: 11880; RR: 11880"
"Delete Booking","update booking","update booking","None","configured","TP","ML: 0.8226188954044774; FM: 8830; RR: 8830","ML: 0.8226188954044774; FM: 8830; RR: 8830"
"Modify Booking","update booking","update booking","None","configured","TP","ML: 100; FM: 11880; RR: 11880","ML: 100; FM: 11880; RR: 11880"
"Update Booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Modify Booking","update booking","update booking","None","configured","TP","FM: 11880; RR: 11880","FM: 11880; RR: 11880"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"Update Booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Book Flight","book flight","book flight","None","configured","TP","ML: 0.9083987846915441; FM: 11910; RR: 11910","ML: 0.9083987846915441; FM: 11910; RR: 11910"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","FM: 12112.22; RR: 12112.22","FM: 12112.22; RR: 12112.22"
"reservation status","update booking","update booking","None","configured","TP","ML: 0.20923609800191073; FM: 6500; RR: 6500","ML: 0.20923609800191073; FM: 6500; RR: 6500"
"reservation was booked ?","how do i know my reservation was booked","update booking","None","configured","FP","ML: 0.9556495658552255; FM: 6600; RR: 6630","FAQ: 86.6; RR: 9168.89"
"How do I know my reservation was booked","how do i know my reservation was booked","how do i know my reservation was booked","None","configured","TP","FAQ: 100; RR: 100","FAQ: 100; RR: 100"
"what is an e-ticket","what is an e-ticket","what is an e-ticket","None","configured","TP","FAQ: 100; RR: 100","FAQ: 100; RR: 100"
"e-ticket","what is an e-ticket","what is an e-ticket","None","configured","TP","FAQ: 100; RR: 100","FAQ: 100; RR: 100"
"e-ticket details","how do i get my e-ticket details","how do i get my e-ticket details","None","configured","TP","FAQ: 100; RR: 100","FAQ: 100; RR: 100"
"Lufthansa","book flight","book flight","None","configured","TP","ML: 0.015631302959753512; FM: 8930; RR: 8930","ML: 0.015631302959753512; FM: 8930; RR: 8930"
"emirates","book flight","book flight","None","configured","TP","ML: 0.015631302959753512; FM: 8930; RR: 8930","ML: 0.015631302959753512; FM: 8930; RR: 8930"
"singapore airlines","book flight","book flight","None","configured","TP","ML: 0.015631302959753512; FM: 8830; RR: 8830","ML: 0.015631302959753512; FM: 8830; RR: 8830"
"book air india","book flight","book flight","None","configured","TP","ML: 0.1903553471594954; FM: 12112.22; RR: 12112.22","ML: 0.1903553471594954; FM: 12112.22; RR: 12112.22"
"book singapore airlines","book flight","book flight","None","configured","TP","ML: 0.1903553471594954; FM: 12112.22; RR: 12112.22","ML: 0.1903553471594954; FM: 12112.22; RR: 12112.22"
"air indi","book flight","book flight","None","configured","TP","ML: 0.015631302959753512; FM: 11330; RR: 11330","ML: 0.015631302959753512; FM: 11330; RR: 11330"
"c. travelling on another date","update booking","update booking","None","configured","TP","ML: 0.040609227362861794; FM: 11145.71; RR: 11145.71","ML: 0.040609227362861794; FM: 11145.71; RR: 11145.71"
"travelling on another date","update booking","update booking","None","configured","TP","ML: 0.040609227362861794; FM: 11229.05; RR: 11229.05","ML: 0.040609227362861794; FM: 11229.05; RR: 11229.05"
"travelling on another date","update booking","update booking","None","configured","TP","FM: 11229.05; RR: 11229.05","FM: 11229.05; RR: 11229.05"
"travel plans changed","update booking","update booking","None","configured","TP","ML: 0.040609227362861794; FM: 9443.33; RR: 9443.33","ML: 0.040609227362861794; FM: 9443.33; RR: 9443.33"
"travel plans changed","update booking","update booking","None","configured","TP","FM: 9443.33; RR: 9443.33","FM: 9443.33; RR: 9443.33"
"change in travel plans","update booking","update booking","None","configured","TP","ML: 0.6034526825040507; FM: 11176.67; RR: 11176.67","ML: 0.6034526825040507; FM: 11176.67; RR: 11176.67"
"lease a SUV for my trip","book flight","book cab","None","configured","FP","ML: 0.038882841655175346; FM: 11576.67; RR: 11576.67","ML: 0.7192716788951962; FM: 8422.22; RR: 9474.44"
"SUV","book cab","book cab","None","configured","TP","ML: 0.011549698660080024; FM: 8930; RR: 8930","ML: 0.011549698660080024; FM: 8930; RR: 8930"
"lease a SUV for my trip","book cab","book cab","None","configured","TP","FM: 11576.67; RR: 11576.67","FM: 11576.67; RR: 11576.67"
"lease a SUV for my trip","book flight","book cab","None","configured","FP","ML: 0.038882841655175346; FM: 11576.67; RR: 11576.67","ML: 0.7192716788951962; FM: 8422.22; RR: 9474.44"
"hire a cab","book cab","book cab","None","configured","TP","ML: 0.9983611822514609; FM: 11813.33; RR: 11813.33","ML: 0.9983611822514609; FM: 11813.33; RR: 11813.33"
"SUV","book cab","book cab","None","configured","TP","ML: 0.011549698660080024; FM: 8930; RR: 8930","ML: 0.011549698660080024; FM: 8930; RR: 8930"
"rent a car","book cab","book cab","None","configured","TP","ML: 0.9733634664550584; RR: 8763.33","ML: 0.9733634664550584; RR: 8763.33"
"b. lease a SUV for my trip","book flight","book cab","None","configured","FP","ML: 0.038882841655175346; FM: 11429.05; RR: 11429.05","ML: 0.7192716788951962; FM: 8400; RR: 9430"
"lease a SUV for my trip","book flight","book cab","None","configured","FP","ML: 0.038882841655175346; FM: 11576.67; RR: 11576.67","ML: 0.7192716788951962; FM: 8422.22; RR: 9474.44"
"need to catch a flight","book flight","book flight","None","configured","TP","ML: 0.9543998210327355; FM: 8480; RR: 9530","ML: 0.9543998210327355; FM: 8480; RR: 9530"
"travel by car","book cab","book cab","None","configured","TP","ML: 0.7569226718401348; RR: 8563.33","ML: 0.7569226718401348; RR: 8563.33"
"ride a hatchback","book cab","book cab","None","configured","TP","ML: 0.9120840797688058; RR: 9030","ML: 0.9120840797688058; RR: 9030"
"want to fly","book flight","book flight","None","configured","TP","ML: 100; FM: 10896.67; RR: 10896.67","ML: 100; FM: 10896.67; RR: 10896.67"
"reach by flight","book flight","book flight","None","configured","TP","ML: 0.4331022218439105; FM: 8563.33; RR: 9696.67","ML: 0.4331022218439105; FM: 8563.33; RR: 9696.67"
"need to take a flight","book flight","book flight","None","configured","TP","ML: 0.9543998210327355; FM: 6380; RR: 7430","ML: 0.9543998210327355; FM: 6380; RR: 7430"
"flight","book flight","book flight","None","configured","TP","ML: 0.4331022218439105; FM: 8830; RR: 8830","ML: 0.4331022218439105; FM: 8830; RR: 8830"
